RipeningStage,Tree,Pot,Seed,Germination,GerminationTimeDays,Site
G,A29,1,1,0,,REPSA
G,A29,1,2,0,,REPSA
G,A29,1,3,0,,REPSA
G,A29,1,4,0,,REPSA
G,A29,1,5,0,,REPSA
G,A29,2,1,1,49,REPSA
G,A29,2,2,1,50,REPSA
G,A29,2,3,0,,REPSA
G,A29,2,4,0,,REPSA
G,A29,2,5,0,,REPSA
G,A29,3,1,0,,REPSA
G,A29,3,2,1,48,REPSA
G,A29,3,3,0,,REPSA
G,A29,3,4,1,48,REPSA
G,A29,3,5,0,,REPSA
G,A29,4,1,0,,REPSA
G,A29,4,2,0,,REPSA
G,A29,4,3,0,,REPSA
G,A29,4,4,0,,REPSA
G,A29,4,5,0,,REPSA
G,A29,5,1,0,,REPSA
G,A29,5,2,0,,REPSA
G,A29,5,3,0,,REPSA
G,A29,5,4,1,54,REPSA
G,A29,5,5,0,,REPSA
YG,A29,1,1,1,55,REPSA
YG,A29,1,2,0,,REPSA
YG,A29,1,3,0,,REPSA
YG,A29,1,4,0,,REPSA
YG,A29,1,5,0,,REPSA
YG,A29,2,1,0,,REPSA
YG,A29,2,2,0,,REPSA
YG,A29,2,3,0,,REPSA
YG,A29,2,4,0,,REPSA
YG,A29,2,5,0,,REPSA
YG,A29,3,1,1,55,REPSA
YG,A29,3,2,0,,REPSA
YG,A29,3,3,0,,REPSA
YG,A29,3,4,0,,REPSA
YG,A29,3,5,0,,REPSA
YG,A29,4,1,0,,REPSA
YG,A29,4,2,0,,REPSA
YG,A29,4,3,0,,REPSA
YG,A29,4,4,0,,REPSA
YG,A29,4,5,1,53,REPSA
YG,A29,5,1,0,,REPSA
YG,A29,5,2,1,58,REPSA
YG,A29,5,3,0,,REPSA
YG,A29,5,4,0,,REPSA
YG,A29,5,5,0,,REPSA
YG,A1C3,1,1,0,,Deguedó
YG,A1C3,1,2,0,,Deguedó
YG,A1C3,1,3,0,,Deguedó
YG,A1C3,1,4,0,,Deguedó
YG,A1C3,1,5,1,54,Deguedó
YG,A1C3,2,1,1,58,Deguedó
YG,A1C3,2,2,0,,Deguedó
YG,A1C3,2,3,0,,Deguedó
YG,A1C3,2,4,0,,Deguedó
YG,A1C3,2,5,0,,Deguedó
YG,A1C3,3,1,0,,Deguedó
YG,A1C3,3,2,0,,Deguedó
YG,A1C3,3,3,1,57,Deguedó
YG,A1C3,3,4,0,,Deguedó
YG,A1C3,3,5,0,,Deguedó
YG,A1C3,4,1,0,,Deguedó
YG,A1C3,4,2,0,,Deguedó
YG,A1C3,4,3,0,,Deguedó
YG,A1C3,4,4,1,57,Deguedó
YG,A1C3,4,5,0,,Deguedó
YG,A1C3,5,1,1,55,Deguedó
YG,A1C3,5,2,0,,Deguedó
YG,A1C3,5,3,0,,Deguedó
YG,A1C3,5,4,0,,Deguedó
YG,A1C3,5,5,1,55,Deguedó
RY,A29,1,1,1,53,REPSA
RY,A29,1,2,0,,REPSA
RY,A29,1,3,0,,REPSA
RY,A29,1,4,1,55,REPSA
RY,A29,1,5,0,,REPSA
RY,A29,2,1,0,,REPSA
RY,A29,2,2,1,54,REPSA
RY,A29,2,3,0,,REPSA
RY,A29,2,4,0,,REPSA
RY,A29,2,5,0,,REPSA
RY,A29,3,1,0,,REPSA
RY,A29,3,2,0,,REPSA
RY,A29,3,3,0,,REPSA
RY,A29,3,4,0,,REPSA
RY,A29,3,5,1,53,REPSA
RY,A29,4,1,0,,REPSA
RY,A29,4,2,0,,REPSA
RY,A29,4,3,0,,REPSA
RY,A1C3,1,1,1,54,Deguedó
RY,A1C3,1,2,1,54,Deguedó
RY,A1C3,1,3,1,53,Deguedó
RY,A1C3,1,4,0,,Deguedó
RY,A1C3,1,5,1,53,Deguedó
RY,A1C3,2,1,0,,Deguedó
RY,A1C3,2,2,0,,Deguedó
RY,A1C3,2,3,1,56,Deguedó
RY,A1C3,2,4,0,,Deguedó
RY,A1C3,2,5,1,53,Deguedó
RY,A1C3,3,1,1,50,Deguedó
RY,A1C3,3,2,0,,Deguedó
RY,A1C3,3,3,1,55,Deguedó
RY,A1C3,3,4,0,,Deguedó
RY,A1C3,3,5,0,,Deguedó
RY,A1C3,4,1,1,56,Deguedó
RY,A1C3,4,2,0,,Deguedó
RY,A1C3,4,3,0,,Deguedó
RY,A1C3,4,4,1,58,Deguedó
RY,A1C3,4,5,1,48,Deguedó
RY,A1C3,5,1,0,,Deguedó
RY,A1C3,5,2,0,,Deguedó
RY,A1C3,5,3,0,,Deguedó
RY,A1C3,5,4,0,,Deguedó
RY,A1C3,5,5,1,53,Deguedó
R,A29,1,1,1,12,REPSA
R,A29,1,2,1,55,REPSA
R,A29,1,3,1,55,REPSA
R,A29,1,4,1,58,REPSA
R,A29,1,5,1,53,REPSA
R,A29,2,1,1,53,REPSA
R,A29,2,2,0,,REPSA
R,A29,2,3,0,,REPSA
R,A29,2,4,1,48,REPSA
R,A29,2,5,1,57,REPSA
R,A29,3,1,0,,REPSA
R,A29,3,2,0,,REPSA
R,A29,3,3,0,,REPSA
R,A29,3,4,0,,REPSA
R,A29,3,5,1,53,REPSA
R,A29,4,1,1,50,REPSA
R,A29,4,2,1,12,REPSA
R,A29,4,3,0,,REPSA
R,A29,4,4,0,,REPSA
R,A29,4,5,0,,REPSA
R,A29,5,1,1,12,REPSA
R,A29,5,2,0,,REPSA
R,A29,5,3,1,53,REPSA
R,A29,5,4,1,56,REPSA
R,A29,5,5,1,53,REPSA
R,A1C3,1,1,0,,Deguedó
R,A1C3,1,2,0,,Deguedó
R,A1C3,1,3,0,,Deguedó
R,A1C3,1,4,1,55,Deguedó
R,A1C3,1,5,1,55,Deguedó
R,A1C3,2,1,0,,Deguedó
R,A1C3,2,2,1,49,Deguedó
R,A1C3,2,3,0,,Deguedó
R,A1C3,2,4,0,,Deguedó
R,A1C3,2,5,1,48,Deguedó
R,A1C3,3,1,1,55,Deguedó
R,A1C3,3,2,1,55,Deguedó
R,A1C3,3,3,0,,Deguedó
R,A1C3,3,4,0,,Deguedó
R,A1C3,3,5,0,,Deguedó
R,A1C3,4,1,0,,Deguedó
R,A1C3,4,2,0,,Deguedó
R,A1C3,4,3,1,55,Deguedó
R,A1C3,4,4,1,49,Deguedó
R,A1C3,4,5,1,57,Deguedó
R,A1C3,5,1,0,,Deguedó
R,A1C3,5,2,1,48,Deguedó
R,A1C3,5,3,1,48,Deguedó
R,A1C3,5,4,0,,Deguedó
R,A1C3,5,5,1,57,Deguedó
P,A29,1,1,1,53,REPSA
P,A29,1,2,0,,REPSA
P,A29,1,3,0,,REPSA
P,A29,1,4,0,,REPSA
P,A29,1,5,0,,REPSA
P,A29,2,1,0,,REPSA
P,A29,2,2,0,,REPSA
P,A29,2,3,0,,REPSA
P,A29,2,4,0,,REPSA
P,A29,2,5,1,53,REPSA
P,A1C3,1,1,1,54,Deguedó
P,A1C3,1,2,1,54,Deguedó
P,A1C3,1,3,0,,Deguedó
P,A1C3,1,4,0,,Deguedó
P,A1C3,1,5,0,,Deguedó
P,A1C3,2,1,1,55,Deguedó
P,A1C3,2,2,1,53,Deguedó
P,A1C3,2,3,1,55,Deguedó
P,A1C3,2,4,0,,Deguedó
P,A1C3,2,5,0,,Deguedó
P,A1C3,3,1,1,56,Deguedó
P,A1C3,3,2,0,,Deguedó
P,A1C3,3,3,0,,Deguedó
P,A1C3,3,4,1,55,Deguedó
P,A1C3,3,5,0,,Deguedó
P,A1C3,4,1,1,53,Deguedó
P,A1C3,4,2,0,,Deguedó
P,A1C3,4,3,0,,Deguedó
P,A1C3,4,4,0,,Deguedó
P,A1C3,4,5,0,,Deguedó
P,A1C3,5,1,1,54,Deguedó
P,A1C3,5,2,0,,Deguedó
P,A1C3,5,3,0,,Deguedó
P,A1C3,5,4,0,,Deguedó
P,A1C3,5,5,0,,Deguedó